order_date,weather_condition,traffic_level,area_type,distance_km,historical_orders,holiday_flag,peak_hour,rider_count,demand_orders,delivery_time_minutes
2024-01-01 00:00:00,2,1,1,10.44301820645904,452,0,0,60,298,41.62090786170258
2024-01-01 01:00:00,1,1,1,3.438641686236969,412,0,1,96,336,32.588819435849715
2024-01-01 02:00:00,0,1,2,1.139414879239558,224,0,0,43,177,31.734689267238256
2024-01-01 03:00:00,0,2,2,3.374403744884836,329,1,1,85,331,30.21230101409986
2024-01-01 04:00:00,2,2,0,19.167506782053604,439,1,0,96,372,64.90168717983862
2024-01-01 05:00:00,2,0,0,15.517648876835285,285,1,1,37,275,69.38257450371879
2024-01-01 06:00:00,2,1,1,19.375210222694708,185,1,1,28,187,60.08872312775015
2024-01-01 07:00:00,1,2,2,1.678465484455265,458,1,1,57,422,44.453682050139015
2024-01-01 08:00:00,0,2,0,13.924187673314146,273,1,1,81,290,55.0546057206052
2024-01-01 09:00:00,0,2,0,1.841577001664942,138,0,0,43,93,42.13760806506971
2024-01-01 10:00:00,2,0,2,15.85907290850764,156,0,1,25,149,69.65509376275433
2024-01-01 11:00:00,1,2,1,8.238053281968691,90,1,0,80,94,57.32244263216107
2024-01-01 12:00:00,1,0,0,2.8195418420234017,235,0,0,36,149,51.37141347780455
2024-01-01 13:00:00,2,1,0,11.79288619396279,237,1,0,60,212,29.36511504190974
2024-01-01 14:00:00,2,2,2,6.322283735426374,415,1,0,93,343,32.77822205735724
2024-01-01 15:00:00,2,1,2,13.531904895564551,436,0,1,63,381,41.0539935983686
2024-01-01 16:00:00,2,1,1,13.505320430762016,58,1,1,26,130,50.0390689981793
2024-01-01 17:00:00,0,1,1,14.395142008294304,229,0,0,81,166,48.39062588480929
2024-01-01 18:00:00,2,1,0,19.856836496777422,235,1,1,77,221,59.62985057808682
2024-01-01 19:00:00,2,1,1,8.347256489000703,493,1,1,95,437,28.96375607297309
2024-01-01 20:00:00,0,1,0,9.840994015216918,131,1,0,10,143,47.689840110458434
2024-01-01 21:00:00,2,1,0,16.28762231948148,226,0,0,23,142,50.6290213824512
2024-01-01 22:00:00,2,0,2,11.98903043741582,143,0,0,16,128,63.76503636233947
2024-01-01 23:00:00,2,1,0,1.7078870030681932,438,0,1,73,340,23.185059573346656
2024-01-02 00:00:00,2,2,2,17.018491884937273,495,0,0,81,351,58.61560288285836
2024-01-02 01:00:00,0,1,0,1.9784749568227784,165,1,1,17,209,24.36110561311261
2024-01-02 02:00:00,2,0,0,4.245582593343902,209,0,0,63,128,51.3664843156946
2024-01-02 03:00:00,0,0,0,2.9395193725095567,294,0,1,33,252,53.27803053681692
2024-01-02 04:00:00,0,2,1,2.480615524741284,332,0,1,64,283,27.982969674419422
2024-01-02 05:00:00,2,2,1,1.488012630789494,262,0,1,10,235,28.10775604861438
2024-01-02 06:00:00,0,1,2,2.0455265654749804,201,1,0,81,149,28.79543060120674
2024-01-02 07:00:00,2,0,0,9.406344594397387,215,0,0,78,157,59.62545066290102
2024-01-02 08:00:00,2,0,2,5.804193129669664,449,1,1,41,424,52.95005832999113
2024-01-02 09:00:00,1,0,2,3.404200784957556,192,0,0,10,152,66.09998273351277
2024-01-02 10:00:00,1,2,0,13.515405311803995,74,0,1,75,116,70.19948394525335
2024-01-02 11:00:00,1,1,1,5.296126302050912,249,0,1,51,204,35.67520626908707
2024-01-02 12:00:00,2,0,1,1.3600339515513795,282,0,1,88,261,35.92785119987185
2024-01-02 13:00:00,2,1,2,8.949975891579225,53,0,1,18,56,40.42548314098028
2024-01-02 14:00:00,0,2,1,6.898226847587797,337,0,1,85,282,42.012771934308645
2024-01-02 15:00:00,2,1,0,7.053484195583362,222,0,1,83,182,26.46302525287653
2024-01-02 16:00:00,2,0,0,9.460130535449668,233,0,1,33,232,58.37020290905886
2024-01-02 17:00:00,2,1,1,13.709364617451277,300,0,1,28,261,49.21339593335922
2024-01-02 18:00:00,2,1,1,12.713103280721883,340,1,0,60,238,40.182948749658216
2024-01-02 19:00:00,1,2,2,18.807970585988635,486,0,0,90,333,77.16042994014457
2024-01-02 20:00:00,2,2,1,10.836616659747907,335,0,0,11,205,43.80921587972664
2024-01-02 21:00:00,0,2,2,9.978828284776371,408,0,1,19,324,44.74952152922889
2024-01-02 22:00:00,2,1,0,5.054874269121042,161,1,0,78,145,15.900546707896796
2024-01-02 23:00:00,0,1,0,15.35224448811498,354,1,1,15,350,50.87710322623595
2024-01-03 00:00:00,0,2,0,3.67473974807141,399,0,1,71,347,32.05479027658441
2024-01-03 01:00:00,2,0,1,10.331524906589198,388,0,0,75,243,58.42629708754231
2024-01-03 02:00:00,1,0,1,9.005121769361445,485,1,1,17,423,70.58907398391469
2024-01-03 03:00:00,0,2,1,13.507716689683662,179,1,0,77,157,59.28782977232023
2024-01-03 04:00:00,1,0,2,18.43480792917652,236,0,0,68,139,77.68439953726732
2024-01-03 05:00:00,1,2,2,18.985316238466226,470,1,0,59,363,85.98521391619371
2024-01-03 06:00:00,0,2,2,4.18818607610001,78,0,1,45,121,39.65590953225966
2024-01-03 07:00:00,1,2,0,5.974527147076386,207,1,0,17,163,54.172261530063466
2024-01-03 08:00:00,2,2,2,16.421071079329426,423,0,1,26,363,52.59229329537592
2024-01-03 09:00:00,2,2,1,10.847315486534663,284,0,1,68,221,45.70983419298292
2024-01-03 10:00:00,2,2,1,9.607656798758905,327,0,1,87,310,46.19844040908939
2024-01-03 11:00:00,2,1,0,14.50188359523341,151,0,1,17,155,47.39588389949733
2024-01-03 12:00:00,2,1,1,12.436574099532464,274,0,1,98,226,43.10684412305153
2024-01-03 13:00:00,2,1,1,19.44356703400536,324,1,1,87,329,55.275652123693966
2024-01-03 14:00:00,1,2,1,12.095518393477072,372,0,0,96,309,62.08573366563271
2024-01-03 15:00:00,2,1,2,9.853502700597812,281,1,0,52,263,27.8617815591002
2024-01-03 16:00:00,2,1,2,11.313529879485335,391,1,1,72,362,36.38910862379883
2024-01-03 17:00:00,0,2,1,16.362256517242493,323,1,0,90,291,72.20633565408615
2024-01-03 18:00:00,2,2,1,12.640826078919195,414,1,1,21,425,43.474390965366325
2024-01-03 19:00:00,1,2,1,13.293913736347635,498,0,0,93,341,58.645958811386215
