customer_id,latitude,longitude,demand,service_time,ready_time,due_time,time_window
1,25.44561,81.774673,4,0.1333,11.957,16.957,11:57-16:57
2,25.307779,81.903587,9,0.0833,10.5353,15.5353,10:32-15:32
3,25.487722,81.77554,1,0.25,11.7503,16.7503,11:45-16:45
4,25.407403,81.754703,5,0.25,12.0724,17.0724,12:04-17:04
5,25.568492,81.94505,9,0.2833,11.1091,16.1091,11:07-16:07
6,25.563238,81.824515,10,0.3333,10.0336,14.0336,10:02-14:02
7,25.449137,81.635649,3,0.2,9.9983,14.9983,09:00-14:00
8,25.462263,81.719201,7,0.3,9.655,14.655,09:39-14:39
9,25.553967,81.982374,2,0.2667,9.0907,13.0907,09:05-13:05
10,25.304012,81.893326,2,0.15,8.889,13.889,08:53-13:53
11,25.323575,81.977313,4,0.3,11.2295,15.2295,11:14-15:14
12,25.575596,81.769575,9,0.0833,10.6036,15.6036,10:36-15:36
13,25.349189,81.724461,7,0.2333,12.244,17.244,12:15-17:15
14,25.521187,81.654095,5,0.3333,12.2356,17.2356,12:14-17:14
15,25.321932,81.89312,3,0.25,12.2095,16.2095,12:13-16:13
16,25.449001,81.947813,2,0.3167,9.1277,14.1277,09:08-14:08
17,25.280282,81.784807,3,0.0833,10.0547,15.0547,10:03-15:03
18,25.604402,81.92545,2,0.2167,8.8361,12.8361,08:50-12:50
19,25.463393,81.788708,2,0.2833,10.5217,15.5217,10:31-15:31
20,25.343129,81.734707,7,0.25,10.6327,15.6327,10:38-15:38
21,25.445339,81.638606,2,0.3167,10.0104,15.0104,10:01-15:01
22,25.330158,81.998043,1,0.2,10.1841,15.1841,10:11-15:11
23,25.629889,81.806278,6,0.25,9.8048,14.8048,09:48-14:48
24,25.551377,81.744584,3,0.1833,8.4405,12.9405,08:26-12:56
25,25.464729,81.668583,5,0.3,11.003,16.003,11:00-16:00
26,25.475041,81.96614,2,0.1,10.4662,15.4662,10:28-15:28
27,25.246812,81.890708,3,0.15,10.8043,15.8043,10:48-15:48
28,25.556135,81.883929,5,0.1,9.3268,14.3268,09:20-14:20
29,25.533014,82.003189,7,0.2667,12.1688,16.1688,12:10-16:10
30,25.382542,81.714475,5,0.1333,9.9922,14.9922,09:00-14:00
31,25.430817,81.678709,6,0.1667,8.2744,12.7744,08:16-12:46
32,25.602055,81.808186,6,0.3,9.2582,14.2582,09:15-14:15
33,25.36941,81.988752,3,0.1667,10.4867,15.4867,10:29-15:29
34,25.305852,81.998649,3,0.1167,12.8322,17.3322,12:50-17:20
35,25.305511,81.874239,5,0.0833,10.1026,14.1026,10:06-14:06
36,25.495785,82.012451,1,0.1333,9.1477,14.1477,09:09-14:09
37,25.518955,81.944259,7,0.3167,11.8641,15.8641,11:52-15:52
38,25.306192,81.86838,7,0.2167,10.0461,15.0461,10:03-15:03
39,25.455404,81.994872,4,0.3333,10.8272,15.8272,10:50-15:50
40,25.396404,81.767166,4,0.1333,9.9018,13.9018,09:54-13:54
41,25.368052,81.877567,4,0.1667,11.1944,15.1944,11:12-15:12
42,25.517181,81.68872,7,0.1167,11.022,15.022,11:01-15:01
43,25.385823,81.675005,8,0.1833,11.1929,15.1929,11:12-15:12
44,25.373392,82.013534,2,0.2333,9.3626,14.3626,09:22-14:22
45,25.461485,81.79626,5,0.2833,11.915,16.915,11:55-16:55
46,25.475929,81.722298,1,0.1667,10.9855,15.9855,10:59-15:59
47,25.362296,81.915836,5,0.2833,8.99,13.99,08:59-13:59
48,25.393805,82.035651,3,0.25,12.2488,16.2488,12:15-16:15
49,25.359825,81.659987,4,0.15,9.8072,13.8072,09:48-13:48
50,25.503294,81.936358,5,0.3167,10.176,15.176,10:11-15:11
51,25.48656,82.018954,4,0.1833,11.1818,15.1818,11:11-15:11
52,25.518124,81.85052,4,0.1167,9.0266,14.0266,09:02-14:02
53,25.46123,81.72711,8,0.3333,10.922,14.922,10:55-14:55
54,25.392723,81.765815,9,0.3167,10.0096,15.0096,10:01-15:01
55,25.404664,81.727164,1,0.0833,8.3962,12.8962,08:24-12:54
56,25.467413,81.667251,4,0.3167,8.6496,13.1496,08:39-13:09
57,25.252513,81.899888,9,0.3333,8.9991,12.9991,08:00-12:00
58,25.347181,81.801067,6,0.3,12.2129,17.2129,12:13-17:13
59,25.530907,81.973274,3,0.15,12.0613,17.0613,12:04-17:04
60,25.561956,81.968728,6,0.25,11.0072,15.0072,11:00-15:00
61,25.340778,81.659371,2,0.2167,11.1055,16.1055,11:06-16:06
62,25.281127,81.877752,1,0.2333,10.502,15.502,10:30-15:30
63,25.337512,81.79901,7,0.2333,11.2023,15.2023,11:12-15:12
