solution_id,vehicles_used,distance,reliability,waiting_time,delay,constraint_violation,nonempty_route_lengths
1,79,21015.6386,0.482,138.7927,1726.0422,0.0,16;10;17;15;13;12;13;7;11;15;14;14;13;12;16;13;10;12;18;10;10;6;6;9;12;9;17;15;14;14;15;17;17;15;15;14;11;14;13;10;13;10;12;12;8;12;16;8;16;13;15;8;13;13;11;13;20;11;12;11;8;9;12;16;14;11;16;15;14;17;13;10;10;14;11;12;12;14;11
2,80,21134.6536,0.489,128.781,1535.6766,0.0,15;11;15;15;17;11;14;14;9;14;14;12;14;11;12;8;11;18;15;7;16;14;6;12;8;14;16;10;11;12;15;10;13;13;12;14;14;17;8;10;7;15;15;14;13;14;12;15;11;13;14;14;13;10;11;13;12;12;15;14;10;12;12;10;10;12;7;12;16;15;16;14;11;17;6;12;12;13;13;11
3,80,21746.3204,0.5,114.0488,1476.2586,0.0,12;14;12;12;7;13;14;11;10;12;14;12;12;14;12;15;12;13;12;14;12;10;9;13;12;11;16;11;14;12;14;14;15;13;14;6;12;11;16;15;15;13;15;15;14;12;11;9;10;12;17;13;8;11;7;12;13;17;18;13;13;12;16;12;10;11;8;13;14;11;13;16;15;6;10;10;10;15;15;18
4,79,21016.4549,0.479,141.1076,1719.2932,0.0,16;10;17;10;13;12;13;7;11;14;14;14;13;12;16;13;10;11;18;10;10;12;9;12;9;17;15;14;14;15;17;17;15;15;14;11;14;13;10;13;10;12;12;8;12;16;9;16;6;14;15;9;13;13;11;13;20;11;12;11;8;9;12;15;14;11;16;15;14;17;12;10;10;14;11;12;12;14;11
5,79,21483.9735,0.492,125.0185,1524.8343,0.0,16;13;13;15;15;13;14;12;12;12;12;14;14;7;14;8;14;14;12;14;15;14;15;12;13;12;15;13;12;8;12;17;12;11;8;12;13;14;13;13;6;10;13;14;13;12;11;14;6;12;15;15;6;13;16;14;16;12;13;13;14;13;15;14;13;15;14;11;9;14;10;12;11;11;13;14;17;12;12
6,79,21479.1229,0.492,119.7444,1551.6104,0.0,14;16;15;11;7;9;15;14;15;16;10;13;11;11;12;11;10;14;15;11;16;13;13;14;14;15;16;8;11;15;10;13;13;13;11;10;14;17;13;12;10;5;13;17;10;13;11;15;13;12;8;15;14;10;15;16;13;13;13;14;16;8;8;12;14;9;14;11;12;12;10;13;20;13;16;12;16;13;10
7,80,21475.2425,0.495,120.68,1536.9825,0.0,14;16;15;11;7;9;15;14;15;16;11;13;11;11;12;11;10;14;15;11;15;13;13;14;14;17;16;8;11;15;10;13;12;9;10;10;14;17;13;12;10;5;13;17;10;13;11;15;13;12;8;15;14;10;15;16;13;13;13;14;16;8;8;11;14;10;14;11;12;12;10;13;20;13;16;4;12;16;13;10
8,80,21002.566,0.484,143.1092,1701.456,0.0,16;10;17;10;13;12;13;7;11;15;14;14;13;12;16;13;10;12;18;10;10;6;6;9;12;9;17;15;14;14;15;17;17;15;15;14;11;14;13;10;13;11;12;12;8;12;16;9;16;6;13;15;8;13;13;11;13;20;11;12;11;8;9;12;15;14;11;16;15;14;17;12;10;10;14;11;12;11;14;11
9,80,21358.6699,0.493,126.6593,1477.6127,0.0,11;13;16;12;15;14;13;12;15;16;12;17;14;8;12;13;9;13;15;12;15;13;13;13;11;11;14;11;12;15;11;13;13;16;7;12;12;13;14;8;14;11;13;9;11;12;11;13;14;7;14;16;12;15;13;10;16;11;16;12;15;11;13;12;12;8;14;10;12;9;11;11;12;11;11;13;14;17;14;11
10,80,21137.4708,0.495,128.0219,1548.7702,0.0,15;11;15;15;17;11;14;14;9;14;14;12;14;11;12;8;10;18;16;7;16;14;5;12;8;14;16;10;11;12;15;11;13;13;12;14;14;17;8;10;7;15;15;14;13;14;12;15;11;13;14;14;13;10;11;13;12;12;15;14;10;12;12;10;10;12;7;12;16;15;16;14;11;17;6;12;12;13;13;11
11,79,21393.6875,0.49,125.61,1541.3315,0.0,17;13;13;14;15;13;14;12;12;12;12;14;14;7;14;8;15;14;12;14;14;14;15;12;13;11;15;13;12;7;12;17;12;11;8;12;13;14;13;13;6;10;13;14;13;12;11;14;6;12;15;15;6;13;16;14;16;12;13;13;15;13;15;14;13;15;14;11;9;14;10;12;11;12;13;14;17;12;12
12,80,21442.1214,0.494,121.2251,1546.473,0.0,14;16;15;11;7;9;15;14;15;16;10;13;11;11;12;11;10;14;15;11;16;13;13;14;14;17;16;8;11;15;10;13;12;9;10;10;14;17;13;12;10;5;13;17;10;13;11;15;13;12;8;15;14;10;15;16;13;13;13;14;16;8;8;12;14;9;14;11;12;12;10;13;20;13;16;4;12;16;13;10
13,80,21127.1013,0.493,128.1476,1536.0672,0.0,15;11;14;15;17;11;14;14;9;14;14;12;14;11;12;8;10;18;16;8;16;14;6;12;8;14;16;10;11;12;15;10;13;13;12;14;14;17;8;10;7;15;15;14;13;14;12;15;11;13;14;14;13;10;11;13;12;12;15;14;10;12;12;10;10;12;7;12;16;15;16;14;11;17;6;12;12;13;13;11
14,79,21022.9035,0.48,142.1053,1722.4941,0.0,16;10;17;10;13;12;13;7;11;15;14;14;13;12;16;13;10;12;18;10;10;12;9;12;9;17;15;14;14;15;17;17;15;15;14;11;14;13;10;13;10;12;12;8;12;16;9;16;6;13;15;8;13;13;11;13;20;11;12;11;8;9;12;15;14;11;16;15;14;17;12;10;10;14;11;12;12;14;11
15,79,21413.8164,0.491,126.1941,1540.478,0.0,17;13;13;14;15;13;14;12;12;12;12;14;14;7;14;8;15;14;12;14;14;14;15;12;13;11;15;13;12;8;12;17;12;11;8;12;13;14;13;13;6;10;13;14;13;12;11;14;6;12;15;15;6;13;16;14;16;12;13;13;15;13;15;14;13;15;14;11;9;14;10;12;11;11;13;14;17;12;12
16,79,21469.8402,0.489,120.4795,1564.8469,0.0,14;16;15;11;7;9;15;14;15;16;10;13;11;11;12;11;10;14;15;11;16;13;13;14;14;16;16;8;11;15;10;13;12;13;10;10;14;17;13;12;10;5;13;17;10;13;11;15;13;12;8;15;14;10;15;16;13;13;13;14;16;9;8;12;14;9;14;11;12;12;10;13;20;13;16;12;16;13;10
17,80,21019.7784,0.485,141.5434,1709.6542,0.0,16;10;17;10;13;12;13;7;11;15;14;14;13;12;16;13;10;12;18;10;10;6;6;9;12;9;17;15;14;14;15;17;17;15;15;14;11;14;13;10;13;10;12;12;8;12;16;8;16;5;13;15;8;13;13;11;13;20;11;12;11;8;9;12;16;14;11;16;15;14;17;13;10;10;14;11;12;12;14;11
18,79,21027.5086,0.479,142.119,1713.2636,0.0,16;10;17;10;13;12;13;7;11;14;14;14;13;12;16;13;10;12;18;10;10;12;9;12;9;17;15;14;14;15;17;17;15;15;14;11;14;13;10;13;10;12;12;8;12;16;9;16;6;13;15;8;13;13;11;13;20;11;12;11;8;9;12;15;14;11;16;15;14;17;12;10;10;14;12;12;12;14;11
19,80,21695.6408,0.501,113.9437,1476.6286,0.0,11;14;12;12;7;13;14;11;10;12;14;12;12;14;12;15;12;13;12;15;11;10;9;13;12;11;16;11;14;12;14;15;15;13;14;6;12;11;16;15;15;13;15;15;14;12;11;9;10;12;17;13;8;11;7;12;13;17;18;13;13;12;16;12;10;11;8;13;14;11;13;16;15;6;10;10;10;15;15;18
20,79,21463.9545,0.493,125.0185,1527.575,0.0,17;13;13;15;15;13;14;12;12;12;12;14;14;7;14;8;15;14;12;14;14;14;15;12;13;11;15;13;12;8;12;17;12;11;8;12;13;14;13;13;6;10;13;14;13;12;11;14;6;12;15;15;6;13;16;14;16;12;13;13;14;13;15;14;13;15;14;11;9;14;10;12;11;11;13;14;17;12;12
21,80,21506.8343,0.494,127.3636,1528.7233,0.0,13;13;11;14;13;9;15;6;13;15;14;13;10;11;9;11;15;13;11;14;12;15;6;17;14;14;14;15;10;12;12;14;12;10;11;15;14;10;15;12;15;6;15;12;12;15;12;16;14;13;15;11;8;13;11;17;11;12;16;17;15;15;14;15;12;11;14;13;13;14;11;11;9;12;8;15;11;10;8;11
22,79,21432.9453,0.491,125.8294,1541.5414,0.0,17;13;13;15;15;13;14;12;12;12;12;14;14;7;14;8;15;14;12;14;14;14;15;12;13;11;15;13;12;8;12;17;12;11;8;12;13;14;13;13;6;10;13;14;13;12;11;15;6;11;15;14;6;13;16;14;16;12;13;13;14;13;15;14;13;16;14;11;9;14;10;12;11;11;13;14;17;12;12
23,80,21053.8327,0.488,141.0502,1692.8327,0.0,16;10;17;10;13;12;13;7;11;15;14;14;13;12;16;12;10;12;18;10;10;6;6;9;12;9;17;15;14;14;15;17;17;15;15;14;11;14;13;10;13;10;12;12;8;12;16;9;16;6;13;15;8;13;13;11;13;20;11;12;11;8;9;12;15;14;11;16;15;14;17;12;10;10;14;11;12;13;14;11
24,79,21452.2324,0.494,124.2211,1528.981,0.0,17;13;13;15;15;13;14;12;12;12;12;14;14;7;14;8;15;14;12;14;14;14;15;12;13;11;15;13;12;8;12;17;12;11;8;12;13;14;13;13;6;10;13;14;13;12;11;14;6;12;15;15;6;13;16;14;16;12;13;13;14;13;15;14;13;15;14;11;9;14;10;12;11;11;13;14;17;12;12
25,79,21419.3754,0.492,126.1941,1539.8937,0.0,17;13;13;14;15;13;14;12;12;12;12;14;14;7;14;8;15;14;12;14;14;14;15;12;13;11;15;13;12;8;12;17;12;11;8;12;13;14;12;13;6;10;13;14;13;12;11;14;6;12;15;15;6;13;16;14;16;12;13;13;15;13;15;14;13;14;14;11;9;15;10;12;11;12;13;14;17;12;12
26,79,21421.6796,0.49,120.4795,1568.8499,0.0,14;16;15;11;7;9;15;14;15;16;10;13;11;11;12;11;10;14;15;11;16;13;13;14;14;17;16;8;11;15;10;13;12;13;10;10;14;17;13;12;10;5;13;17;10;13;11;15;13;12;8;15;14;10;15;16;13;13;13;14;16;8;8;12;14;9;14;11;12;12;10;13;20;13;16;12;16;13;10
27,80,21047.9643,0.485,142.2421,1699.4652,0.0,16;10;17;10;13;12;13;7;11;14;14;14;13;12;16;13;10;12;18;10;10;6;6;9;12;9;17;15;14;14;15;17;17;15;15;14;11;14;13;10;13;10;12;12;8;12;16;9;16;6;13;15;8;13;13;11;13;20;11;12;11;8;9;12;15;14;11;16;15;14;17;12;10;10;14;12;12;12;14;11
28,80,21243.157,0.485,124.0483,1535.5245,0.0,9;13;11;16;14;13;12;12;11;10;12;15;13;11;15;16;14;14;13;11;9;13;13;12;11;13;15;18;12;11;11;7;13;14;14;9;14;10;15;13;12;15;14;17;9;13;17;12;11;15;14;11;12;14;14;7;15;12;13;3;9;14;14;15;7;11;10;17;16;13;10;12;11;16;14;12;12;10;11;14
29,80,21047.6772,0.488,140.9078,1699.953,0.0,16;10;17;10;13;12;13;7;11;15;14;14;13;12;16;12;10;12;18;10;10;6;6;9;12;9;17;15;14;14;16;17;17;15;15;14;11;14;13;10;13;10;12;12;8;12;16;9;16;6;13;15;8;13;13;11;13;20;11;12;11;8;9;12;15;14;11;16;15;14;17;12;10;10;14;11;12;12;14;11
